ticker,pdf_period,report_date,cash_and_equivalents,trade_receivables,inventories,current_assets,fixed_assets,total_assets,trade_payable,current_bank_loans,current_liabilities,longterm_bank_loans,total_liabilities,common_stocks,retained_earnings,total_equity,revenues,gross_profit,operating_profit,interest_finance_costs,ebt,tax,net_profit,net_profit_attributable,comprehensive_income,comprehensive_attributable,cfo,cfi,cff,net_change_cash,cash_end_period,current_ratio,dar,der,eps,per,book_value,pbv,roa,roe,gpm,opm,npm,dps,dpr,dividend_yield,listed_shares_million,market_cap_billion_idr,usd_rate_idr
AADI,February - July 2026,Dec 2024,24543517.0,6488771.0,1107820.0,35781294.0,15752773.0,96847346.0,7566322.0,660726.0,14103689.0,10435239.0,42490113.0,40718965.0,7108270.0,54357233.0,85969765.0,23691234.0,18592374.0,1257455.0,24889168.0,-3447788.0,21441380.0,19567706.0,21109902.0,19259064.0,19369201.0,3193850.0,-38632192.0,-16069141.0,24543517.0,2.54,0.44,0.78,2512.9,3.37,6980.61,1.21,20.2,36.0,27.56,21.63,22.76,538.08,36.65,7.71,7787.0,65994.0,16161.0
AADI,February - July 2026,Sep 2025,23653065.0,8518595.0,1823684.0,37154389.0,20345144.0,102020235.0,10299014.0,187768.0,16027976.0,9807852.0,38712120.0,42056863.0,17145438.0,63308116.0,60243565.0,15744913.0,12876993.0,754061.0,13563201.0,-2632128.0,10931073.0,9803612.0,8711071.0,7773965.0,11432267.0,-3546048.0,-9395543.0,-1509324.0,23653065.0,2.32,0.38,0.61,1468.15,5.07,8130.09,0.92,11.21,18.06,26.14,21.37,18.98,,,,7787.0,58012.0,16692.0
ADMR,February - July 2026,Dec 2022,7973471.0,1000827.0,830764.0,10078269.0,6380129.0,20061053.0,352577.0,,3072168.0,1524216.0,11184409.0,4738715.0,6453246.0,8876644.0,14159751.0,8340389.0,7176887.0,385988.0,6826070.0,-1591231.0,5234838.0,5179826.0,5236592.0,5181560.0,7479354.0,-372314.0,-1858939.0,5248101.0,7973471.0,3.28,0.56,1.26,126.7,13.38,217.13,7.81,25.82,58.35,58.9,50.69,36.58,47.82,36.06,3.07,40882.0,69296.0,15592.0
ADMR,February - July 2026,Dec 2023,9053777.0,2816695.0,1045949.0,13656633.0,8491430.0,26175583.0,516868.0,,3238333.0,4779916.0,10149142.0,4692216.0,13196595.0,16026442.0,16766166.0,9004209.0,8867756.0,477607.0,8698763.0,-1892586.0,6806177.0,6808937.0,6803881.0,6806673.0,4578976.0,-2172011.0,-1273560.0,1133406.0,9053777.0,4.22,0.39,0.63,166.55,8.17,392.01,3.47,26.01,42.49,53.7,52.89,40.61,,,,40882.0,55600.0,15439.0
ADMR,February - July 2026,Dec 2024,9900315.0,1532843.0,1137766.0,13620550.0,14540105.0,33511365.0,865059.0,,3802461.0,9873667.0,9233284.0,4911646.0,20843483.0,24278081.0,18652747.0,9337666.0,8715713.0,193021.0,9009793.0,-1983485.0,7026308.0,7056812.0,6999319.0,7029754.0,8470748.0,-6517672.0,-1491299.0,461777.0,9900315.0,3.58,0.28,0.38,172.61,6.95,593.85,2.02,21.06,29.07,50.06,46.73,37.83,,,,40882.0,49059.0,16161.0
ADMR,February - July 2026,Sep 2025,7943100.0,2358436.0,1473074.0,13534299.0,25761576.0,44246465.0,1267068.0,,5836784.0,,16625590.0,5073027.0,22915183.0,27620875.0,11269508.0,4471324.0,3919431.0,15353.0,4253501.0,-886708.0,3366793.0,3408236.0,3348445.0,3389888.0,1886191.0,-8331610.0,4186736.0,-2258683.0,7943100.0,2.32,0.38,0.6,132.63,7.92,675.62,1.55,12.25,19.63,39.68,34.78,48.11,,,,40882.0,42926.0,16692.0
ADRO,February - July 2026,Dec 2021,25843171.0,6449431.0,1794156.0,40497306.0,19935291.0,108257990.0,3887004.0,3124497.0,19428071.0,7856426.0,44642293.0,4893411.0,39717690.0,63615697.0,56972093.0,25252506.0,22612099.0,1189093.0,21207316.0,-6530322.0,14676994.0,13319997.0,15797281.0,14409207.0,20495021.0,-9197969.0,-2189179.0,9107874.0,25843171.0,2.08,0.41,0.7,416.43,5.4,1988.86,1.13,12.3,20.94,44.32,39.69,23.38,358.48,86.08,15.93,31986.0,71968.0,14269.0
ADRO,February - July 2026,Dec 2022,63418246.0,10090410.0,3105926.0,82938666.0,22639475.0,168117731.0,5195442.0,2228798.0,38161607.0,10413959.0,66343477.0,5347120.0,69874815.0,101774254.0,126332605.0,72549139.0,66823414.0,1392584.0,69793207.0,-25650337.0,44142870.0,38872103.0,45574293.0,40304135.0,60251448.0,-11962120.0,-12447327.0,35842001.0,63418246.0,2.17,0.39,0.65,1215.29,3.17,3181.84,1.21,23.12,38.19,57.43,52.89,30.77,660.03,54.31,17.14,31986.0,123146.0,15592.0
ADRO,February - July 2026,Dec 2023,51122111.0,8035907.0,2641242.0,66419087.0,27086259.0,161688185.0,5322487.0,3439531.0,32965878.0,6242929.0,47304494.0,5294651.0,80593896.0,114383691.0,100624547.0,39173128.0,33997373.0,1689057.0,35421435.0,-6783974.0,28637461.0,25342146.0,28976795.0,25663246.0,17797431.0,-8992075.0,-20590840.0,-11785484.0,51122111.0,2.01,0.29,0.41,792.29,3.0,3576.06,0.67,15.67,22.16,38.93,33.79,25.18,1152.09,145.41,48.41,31986.0,76127.0,15439.0
ADRO,February - July 2026,Dec 2024,22721041.0,5655914.0,1616052.0,42111720.0,24716326.0,108313074.0,2559256.0,479691.0,10462551.0,6992154.0,21515058.0,5321106.0,54859161.0,86798016.0,33593693.0,14124698.0,11856388.0,874989.0,13087501.0,-2785122.0,25148649.0,22302390.0,27970893.0,25068927.0,32582936.0,23179641.0,-58861416.0,-3098839.0,22721041.0,4.02,0.2,0.25,725.08,3.35,2821.9,0.86,20.59,25.69,42.05,35.29,66.39,2510.28,346.21,103.3,30759.0,74744.0,16161.0
